IP,Threat,Count
222.110.193.108,Potential DoS,541
85.31.44.222,SSH Brute Force,620
141.94.110.90,SSH Brute Force,253
36.139.55.206,SSH Brute Force,121
221.132.33.179,SSH Brute Force,111
109.239.48.81,SSH Brute Force,109
149.202.74.37,SSH Brute Force,101
164.163.21.78,SSH Brute Force,92
161.35.4.85,SSH Brute Force,91
128.199.225.7,SSH Brute Force,90
111.95.141.34,SSH Brute Force,90
165.22.210.239,SSH Brute Force,90
170.210.83.90,SSH Brute Force,90
190.144.161.145,SSH Brute Force,86
197.254.47.46,SSH Brute Force,82
153.126.182.9,SSH Brute Force,70
120.79.221.38,SSH Brute Force,70
218.150.112.119,SSH Brute Force,68
1.179.185.50,SSH Brute Force,67
45.137.9.197,SSH Brute Force,63
67.205.143.26,SSH Brute Force,62
167.172.158.79,SSH Brute Force,62
147.185.254.17,SSH Brute Force,61
43.153.87.107,SSH Brute Force,61
147.135.252.17,SSH Brute Force,61
43.153.40.82,SSH Brute Force,61
43.153.15.147,SSH Brute Force,61
103.199.98.221,SSH Brute Force,60
103.148.113.55,SSH Brute Force,60
142.93.50.8,SSH Brute Force,60
190.193.63.234,SSH Brute Force,60
43.128.68.161,SSH Brute Force,60
61.216.131.31,SSH Brute Force,60
134.209.109.149,SSH Brute Force,60
181.224.94.54,SSH Brute Force,60
64.227.185.119,SSH Brute Force,60
104.131.180.54,SSH Brute Force,60
159.223.83.41,SSH Brute Force,60
92.241.68.2,SSH Brute Force,60
190.104.245.41,SSH Brute Force,60
5.253.244.166,SSH Brute Force,60
186.122.149.6,SSH Brute Force,60
205.214.74.6,SSH Brute Force,60
167.71.227.77,SSH Brute Force,60
49.205.179.22,SSH Brute Force,60
159.223.43.149,SSH Brute Force,60
202.125.94.71,SSH Brute Force,60
202.175.174.114,SSH Brute Force,60
114.199.123.211,SSH Brute Force,60
43.153.50.190,SSH Brute Force,60
112.196.62.36,SSH Brute Force,60
165.227.84.172,SSH Brute Force,60
46.105.29.159,SSH Brute Force,60
200.116.195.123,SSH Brute Force,60
43.157.53.117,SSH Brute Force,60
147.182.180.116,SSH Brute Force,60
137.184.216.0,SSH Brute Force,60
206.81.9.31,SSH Brute Force,60
20.203.77.141,SSH Brute Force,60
190.202.130.61,SSH Brute Force,60
105.174.16.46,SSH Brute Force,59
220.123.76.177,SSH Brute Force,59
51.91.151.44,SSH Brute Force,58
107.189.13.7,SSH Brute Force,54
111.19.156.18,SSH Brute Force,54
92.82.98.9,SSH Brute Force,52
5.135.142.115,SSH Brute Force,50
45.141.84.10,SSH Brute Force,50
